"","UNIPROTKB","GENES"
"1","P23396","RPS3"
"2","P23396","OK/SW-cl.26"
"3","P68366","TUBA4A"
"4","P68366","TUBA1"
"5","P68366","TUBA4A"
"6","P68366","TUBA1"
"7","P68366","TUBA4A"
"8","P68366","TUBA1"
"9","P68366","TUBA4A"
"10","P68366","TUBA1"
"11","Q71U36","TUBA1A"
"12","Q71U36","TUBA3"
"13","Q71U36","TUBA1A"
"14","Q71U36","TUBA3"
"15","Q71U36","TUBA1A"
"16","Q71U36","TUBA3"
"17","Q71U36","TUBA1A"
"18","Q71U36","TUBA3"
"19","Q71U36","TUBA1A"
"20","Q71U36","TUBA3"
"21","Q71U36","TUBA1A"
"22","Q71U36","TUBA3"
"23","Q7L1Q6","BZW1"
"24","Q7L1Q6","BZAP45"
"25","Q7L1Q6","KIAA0005"
"26","P04406","GAPDH"
"27","P04406","GAPD"
"28","P04406","CDABP0047"
"29","P04406","OK/SW-cl.12"
"30","Q99873","PRMT1"
"31","Q99873","HMT2"
"32","Q99873","HRMT1L2"
"33","Q99873","IR1B4"
"34","Q15365","PCBP1"
"35","Q15365","PCBP1"
"36","Q13526","PIN1"
"37","Q9Y266","NUDC"
"38","Q9Y696","CLIC4"
"39","P24752","ACAT1"
"40","P24752","ACAT"
"41","P24752","MAT"
"42","P24752","ACAT1"
"43","P24752","ACAT"
"44","P24752","MAT"
"45","P24752","ACAT1"
"46","P24752","ACAT"
"47","P24752","MAT"
"48","P24752","ACAT1"
"49","P24752","ACAT"
"50","P24752","MAT"
"51","P10809","HSPD1"
"52","P10809","HSP60"
"53","P09211","GSTP1"
"54","P09211","FAEES3"
"55","P09211","GST3"
"56","Q86SX6","GLRX5"
"57","Q86SX6","C14orf87"
"58","P13639","EEF2"
"59","P13639","EF2"
"60","P13639","EEF2"
"61","P13639","EF2"
"62","O14980","XPO1"
"63","O14980","CRM1"
"64","O14980","XPO1"
"65","O14980","CRM1"
"66","Q99832","CCT7"
"67","Q99832","CCTH"
"68","Q99832","NIP7-1"
"69","Q99832","CCT7"
"70","Q99832","CCTH"
"71","Q99832","NIP7-1"
"72","P62280","RPS11"
"73","P62280","RPS11"
"74","P78417","GSTO1"
"75","P78417","GSTTLP28"
"76","P10599","TXN"
"77","P10599","TRDX"
"78","P10599","TRX"
"79","P10599","TRX1"
"80","P50990","CCT8"
"81","P50990","C21orf112"
"82","P50990","CCTQ"
"83","P50990","KIAA0002"
"84","P50990","CCT8"
"85","P50990","C21orf112"
"86","P50990","CCTQ"
"87","P50990","KIAA0002"
"88","P13667","PDIA4"
"89","P13667","ERP70"
"90","P13667","ERP72"
"91","P13667","PDIA4"
"92","P13667","ERP70"
"93","P13667","ERP72"
"94","P13667","PDIA4"
"95","P13667","ERP70"
"96","P13667","ERP72"
"97","P13667","PDIA4"
"98","P13667","ERP70"
"99","P13667","ERP72"
"100","P55735","SEC13"
"101","P55735","D3S1231E"
"102","P55735","SEC13L1"
"103","P55735","SEC13R"
"104","Q15185","PTGES3"
"105","Q15185","P23"
"106","Q15185","TEBP"
"107","P55263","ADK"
"108","P46782","RPS5"
"109","Q99439","CNN2"
"110","Q99439","CNN2"
"111","Q2TAA2","IAH1"
"112","P30044","PRDX5"
"113","P30044","ACR1"
"114","P30044","SBBI10"
"115","P30044","PRDX5"
"116","P30044","ACR1"
"117","P30044","SBBI10"
"118","P12268","IMPDH2"
"119","P12268","IMPD2"
"120","P12268","IMPDH2"
"121","P12268","IMPD2"
"122","Q99714","HSD17B10"
"123","Q99714","ERAB"
"124","Q99714","HADH2"
"125","Q99714","MRPP2"
"126","Q99714","SCHAD"
"127","Q99714","SDR5C1"
"128","Q99714","XH98G2"
"129","Q9NQR4","NIT2"
"130","Q9NQR4","CUA002"
"131","P15121","AKR1B1"
"132","P15121","ALDR1"
"133","Q6UB35","MTHFD1L"
"134","Q6UB35","FTHFSDC1"
"135","Q6UB35","MTHFD1L"
"136","Q6UB35","FTHFSDC1"
"137","P07437","TUBB"
"138","P07437","TUBB5"
"139","P07437","OK/SW-cl.56"
"140","P07437","TUBB"
"141","P07437","TUBB5"
"142","P07437","OK/SW-cl.56"
"143","Q15084","PDIA6"
"144","Q15084","ERP5"
"145","Q15084","P5"
"146","Q15084","TXNDC7"
"147","Q15084","PDIA6"
"148","Q15084","ERP5"
"149","Q15084","P5"
"150","Q15084","TXNDC7"
"151","P14618","PKM"
"152","P14618","OIP3"
"153","P14618","PK2"
"154","P14618","PK3"
"155","P14618","PKM2"
"156","P62266","RPS23"
"157","O95336","PGLS"
"158","P62701","RPS4X"
"159","P62701","CCG2"
"160","P62701","RPS4"
"161","P62701","SCAR"
"162","P62829","RPL23"
"163","Q96HE7","ERO1A"
"164","Q96HE7","ERO1L"
"165","Q96HE7","UNQ434/PRO865"
"166","Q96HE7","ERO1A"
"167","Q96HE7","ERO1L"
"168","Q96HE7","UNQ434/PRO865"
"169","Q96HE7","ERO1A"
"170","Q96HE7","ERO1L"
"171","Q96HE7","UNQ434/PRO865"
"172","Q9BRA2","TXNDC17"
"173","Q9BRA2","TXNL5"
"174","P30101","PDIA3"
"175","P30101","ERP57"
"176","P30101","ERP60"
"177","P30101","GRP58"
"178","P30101","PDIA3"
"179","P30101","ERP57"
"180","P30101","ERP60"
"181","P30101","GRP58"
"182","P83731","RPL24"
"183","P83731","RPL24"
"184","Q9ULV4","CORO1C"
"185","Q9ULV4","CRN2"
"186","Q9ULV4","CRNN4"
"187","Q9ULV4","CORO1C"
"188","Q9ULV4","CRN2"
"189","Q9ULV4","CRNN4"
"190","P42677","RPS27"
"191","P42677","MPS1"
"192","O00299","CLIC1"
"193","O00299","G6"
"194","O00299","NCC27"
"195","P49458","SRP9"
"196","P42765","ACAA2"
"197","Q15233","NONO"
"198","Q15233","NRB54"
"199","P50570","DNM2"
"200","P50570","DYN2"
"201","P25205","MCM3"
"202","Q5TFE4","NT5DC1"
"203","Q5TFE4","NT5C2L1"
"204","Q5TFE4","LP2642"
"205","Q06323","PSME1"
"206","Q06323","IFI5111"
"207","P49591","SARS"
"208","P49591","SERS"
"209","Q96RS6","NUDCD1"
"210","Q96RS6","CML66"
"211","Q96RS6","NUDCD1"
"212","Q96RS6","CML66"
"213","Q9BXJ9","NAA15"
"214","Q9BXJ9","GA19"
"215","Q9BXJ9","NARG1"
"216","Q9BXJ9","NATH"
"217","Q9BXJ9","TBDN100"
"218","Q9BXJ9","NAA15"
"219","Q9BXJ9","GA19"
"220","Q9BXJ9","NARG1"
"221","Q9BXJ9","NATH"
"222","Q9BXJ9","TBDN100"
"223","P33240","CSTF2"
"224","Q13155","AIMP2"
"225","Q13155","JTV1"
"226","Q13155","PRO0992"
"227","Q13155","AIMP2"
"228","Q13155","JTV1"
"229","Q13155","PRO0992"
"230","O75663","TIPRL"
"231","P63244","RACK1"
"232","P63244","GNB2L1"
"233","P63244","HLC7"
"234","P63244","PIG21"
"235","Q7L2H7","EIF3M"
"236","Q7L2H7","HFLB5"
"237","Q7L2H7","PCID1"
"238","Q7L2H7","GA17"
"239","Q7L2H7","PNAS-125"
"240","P49327","FASN"
"241","P49327","FAS"
"242","P49327","FASN"
"243","P49327","FAS"
"244","P42166","TMPO"
"245","P42166","LAP2"
"246","P42166","TMPO"
"247","P42166","LAP2"
"248","P42166","TMPO"
"249","P42166","LAP2"
"250","P42166","TMPO"
"251","P42166","LAP2"
"252","P36578","RPL4"
"253","P36578","RPL1"
"254","Q9NXG2","THUMPD1"
"255","P07237","P4HB"
"256","P07237","ERBA2L"
"257","P07237","PDI"
"258","P07237","PDIA1"
"259","P07237","PO4DB"
"260","P07237","P4HB"
"261","P07237","ERBA2L"
"262","P07237","PDI"
"263","P07237","PDIA1"
"264","P07237","PO4DB"
"265","P27707","DCK"
"266","P27707","DCK"
"267","O00303","EIF3F"
"268","O00303","EIF3S5"
"269","Q9UNH7","SNX6"
"270","O43390","HNRNPR"
"271","O43390","HNRPR"
